2.500000e+001	1.023690e-002			
3.150000e+001	8.989775e-003			
4.000000e+001	9.058861e-003			
5.000000e+001	7.060206e-003			
6.300000e+001	7.960949e-003			
8.000000e+001	5.626793e-003			
1.000000e+002	4.926996e-003			
1.250000e+002	4.437844e-003			
1.600000e+002	3.794329e-003			
2.000000e+002	3.391127e-003			
2.500000e+002	3.056871e-003			
3.150000e+002	3.019066e-003			
4.000000e+002	2.305684e-003			
5.000000e+002	1.907640e-003			
6.300000e+002	1.780055e-003			
8.000000e+002	1.724852e-003			
1.000000e+003	1.505780e-003			
1.250000e+003	1.180905e-003			
1.600000e+003	1.113179e-003			
2.000000e+003	9.643337e-004			
2.500000e+003	9.180508e-004			
3.150000e+003	8.163382e-004			
4.000000e+003	7.354272e-004			
5.000000e+003	6.711673e-004			
6.300000e+003	6.172597e-004			
						
